,0
0,-552.8864135010077
1,-526.0961555813518
2,-545.3176633416799
3,-520.3745580544418
4,-506.62118367485
5,-406.23085886056833
6,-371.1633319633745
7,-400.5070308491047
8,-415.2676058899056
9,-142.44363414729423
10,51.250485691335314
11,-205.51433069161357
12,-312.4351440533335
13,-439.627805829993
14,-218.80892780157234
15,-115.739153074809
16,-519.6306032095563
17,-282.3674344355401
18,-454.04367674724637
19,-228.29573498419109
20,-430.6250428394273
21,-153.81277506239275
22,-346.4437893912085
23,-156.90406867805768
24,-399.1125185566607
25,-293.98270102967456
26,-287.77701246286676
27,-415.53397238963726
28,-203.44602349221992
29,-380.4183239144435
30,274.1373236137253
31,-372.43882537394546
32,-222.47619060350098
33,-354.26823885343845
34,-44.46134466636937
35,-325.71771964182636
36,-326.8982636771865
37,-419.7384473694743
38,-127.2246719787093
39,-142.6981865708816
40,-197.37650629348292
41,-50.13096880082736
42,-9.809656187030441
43,-186.18881122044468
44,-166.2045415030576
45,-393.0182763078031
46,49.2554563891166
47,-187.83035737027473
48,-194.87700428960483
49,-55.4212030038513
50,-180.22587704230023
51,-256.29397166229955
52,-76.7132386798699
53,-296.5708534449894
54,-145.45353417436974
55,-215.12866963447578
56,-234.299739912257
57,-217.02068522997178
58,-185.84777523508575
59,-347.7147363244751
60,100.35681541143771
61,-332.89582806543115
62,-43.52932049429688
63,-161.40464812968878
64,-190.90134152148488
65,-288.11286903659743
66,124.64690084458562
67,-214.99504599254533
68,-392.87170454184826
69,-327.1192806403554
70,-178.5607681732311
71,-246.7025625810328
72,406.79754080204475
73,262.07219874027277
74,-164.6077648646617
75,-291.85592507094657
76,-272.5462421770381
77,98.9094584845817
78,-121.62703319523814
79,-66.2440568343419
80,-2.977658382868185
81,-37.39968731858761
82,-119.20339897957632
83,45.975338956897986
84,-68.65517885864375
85,779.5849372034644
86,183.73274299109272
87,32.58084761425408
88,-264.89823650247155
89,-165.63201829801125
90,-133.48174674411052
91,72.1091025644165
92,-91.29774832018677
93,-158.51113812846472
94,-123.92662317018357
95,190.0439595858432
96,200.4140297298688
97,-130.84247353706184
98,-248.73815566699403
99,57.80418310839485
100,-15.940652115995647
101,-299.1422872013367
102,-58.97068573978265
103,56.10197525355471
104,186.9983997439324
105,-114.10799504459175
106,-167.96133506273702
107,84.70001456266169
108,35.74133815503063
109,-35.733087886877286
110,-151.83031459886882
111,-81.29679807817996
112,59.74877745123979
113,-283.28605361686425
114,-1.5825165795953922
115,-30.919927067983735
116,-221.91940132923992
117,28.54065252129658
118,-214.30788406033105
119,-83.9044969590783
120,-212.72450897653084
121,-229.42689871174787
122,-68.03042984713647
123,81.29931248562337
124,-118.86889284106536
125,-73.90754963525717
126,-187.1085939689413
127,212.66828128804957
128,26.58512298461079
129,-87.28680621819763
130,-50.345559117597645
131,-82.88818691784707
132,-135.74139312041575
133,-23.896262984850466
134,-46.739511039203876
135,188.5875613585705
136,287.5688122296762
137,255.01423521057626
138,295.2312907615958
139,-175.39797439778215
140,-86.6131997014221
141,-28.647715785684284
142,-35.330165658740725
143,200.80954660677145
144,257.52935639824426
145,-128.43041875033055
146,-96.74448205647855
147,55.82382013446113
148,137.24561723382112
149,9.77020428253644
150,262.872139620483
151,-53.931471342195664
152,-75.07627957954134
153,18.78167820533423
154,47.97776975264128
155,620.7129284805978
156,374.121714882349
157,203.37625591977667
158,139.9356543068672
159,383.03741654599185
160,-52.55982769140559
161,267.35448692838844
162,71.89350692370397
163,-30.631400658414748
164,10.886669685777463
165,-87.14620155500268
166,-189.09177948169014
167,-61.83689181883892
168,5.171961482198583
169,45.76655795131563
170,-26.273414561576487
171,-24.089677181115007
172,46.00395330759824
173,-143.05271546972614
174,-136.35485915818026
175,71.43953865620512
176,-131.89168219229725
177,-172.1165685214276
178,63.68802438773196
179,141.38581010567498
180,140.0634279161655
181,-8.638804811331966
182,-25.732607222553156
183,74.4721671823014
184,156.51150751083713
185,18.28480026328498
186,-52.74898852179865
187,-278.42075812294644
188,-41.61896645035722
189,-143.44366475201394
190,-209.76522254706947
191,57.221598849318696
192,129.4864581559649
193,-180.5656439526017
194,-177.90324690603103
195,-162.72042828953585
196,-111.83767923798973
197,27.556045059644873
198,-88.43650467620068
199,-84.97165843763719
200,74.0303830329587
201,-91.35280050842971
202,183.36466295635256
203,-25.523166373383106
204,-60.93255274770968
205,247.565336181342
206,-188.2505982025773
207,-104.70576947322428
208,-113.60154669964402
209,-15.576746936043833
210,-64.16656781718609
211,-203.3799042982456
212,-84.66502388195994
213,8.601534744660057
214,-72.4029487677584
215,1.4411187136606145
216,-29.893556759869114
217,-80.28349392006544
218,94.5215703386259
219,1.7810147291918952
220,117.05248165649539
221,58.59399672819745
222,-29.931308724711585
223,-114.12621344743133
224,38.92182872573926
225,109.10883472008567
226,392.9741761596653
227,474.66657569158656
228,171.81352903813718
229,315.9767460217228
230,47.7578735531838
231,225.67351599445163
232,151.95595927697372
233,80.73715733168814
234,-106.80408554148369
235,132.20158854684763
236,-161.61321600572302
237,167.55468395619317
238,-149.31055231307693
239,119.29605704821472
240,-3.900034307395572
241,-130.4570976970877
242,101.12831040222221
243,103.65239012018151
244,29.336673940267417
245,-40.07302899183571
246,91.54355038897836
247,371.9499492666014
248,211.29456129473454
249,296.5426597190285
250,-11.890604402251086
251,238.810976894266
252,-223.1358573043737
253,58.71271327543491
254,57.80765109125008
255,177.7479623009727
256,58.371668462889545
257,-103.89565031294256
258,-62.03926281617015
259,-53.65320213480146
260,242.79641313524866
261,-20.12964923907259
262,-117.69593904037635
263,52.88085964449914
264,47.512583295682134
265,-118.44924721419045
266,132.82732302705705
267,-127.6948155282272
268,98.9619882533542
269,95.42341177680169
270,165.36080838484338
271,118.18013326921385
272,-33.39884426827689
273,255.36571356558034
274,149.90723884287752
275,-10.5383244027376
276,156.27168382352943
277,95.13711393014262
278,161.50959292113168
279,188.98799135735555
280,74.7534869368161
281,-86.00687899182276
282,30.918188746393184
283,89.283479535065
284,-27.40099742924872
285,-24.269827569840857
286,-143.22861307604092
287,-33.70182445630428
288,-43.03369071622916
